category,Cleaned_Text,Sum of Index,Sentiment,Sentiment_Score
0,at least think to refill my water before i struggle to wave you over for minutes,60,Negative,'-0.3
0,coming here is like experiencing an underwhelming relationship where both parties cant wait for the other person to ask to break up,80,Negative,'-0.125
0,crust is not good,1,Negative,'-0.35
0,did not like at all,19,Neutral,0.0
0,frozen pucks of disgust with some of the worst people behind the register,44,Negative,'-0.7
0,hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didnt want to eat it for fear of getting sick,42,Negative,'-0.10198412698412701
0,honeslty it didnt taste that fresh,6,Positive,0.3
0,i guess i should have known that this place would suck because it is inside of the excalibur but i didnt use my common sense,74,Negative,'-0.3
0,i was disgusted because i was pretty sure that was human hair,14,Mixed,'-0.0625
0,i was shocked because no signs indicate cash only,15,Negative,'-0.35
0,in summary this was a largely disappointing dining experience,90,Negative,'-0.6
0,it took over min to get their milkshake which was nothing more than chocolate milk,73,Positive,0.5
0,it was not good,98,Negative,'-0.35
0,its too bad the food is so damn generic,46,Negative,'-0.3499999999999999
0,never been to hard rock casino before will never ever step forward in it again,92,Negative,'-0.2916666666666667
0,not much seafood and like strings of pasta at the bottom,57,Mixed,'-0.1
0,not tasty and the texture was just nasty,2,Negative,'-1.0
0,now i am getting angry and i want my damn pho,5,Negative,'-0.5
0,poor service the waiter made me feel like i was stupid every time he came to the table,37,Negative,'-0.6
0,say bye bye to your tip lady,94,Neutral,0.0
0,seems like a good quick place to grab a bite of some familiar pub food but do yourself a favor and look elsewhere,33,Positive,0.4694444444444444
0,service sucks,39,Negative,'-0.3
0,the burrittos blah,20,Neutral,0.0
0,the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced,12,Neutral,0.0
0,the heart attack grill in downtown vegas is an absolutely flatlined excuse for a restaurant,56,Mixed,0.07500000000000001
0,the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old,84,Mixed,0.1
0,the poor batter to meat ratio made the chicken tenders very unsatisfying,86,Negative,'-0.26666666666666666
0,the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer,7,Neutral,0.0
0,the ripped banana was not only ripped but petrified and tasteless,59,Negative,'-0.3
0,the scallop dish is quite appalling for value as well,75,Negative,'-0.35
0,the service was meh,72,Neutral,0.0
0,the turkey and roast beef were bland,82,Negative,'-0.16666666666666666
0,the worst was the salmon sashimi,29,Negative,'-1.0
0,there is not a deal good enough that would drag me into that establishment again,41,Positive,0.19999999999999998
0,there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company,79,Positive,0.7
0,they have horrible attitudes towards customers and talk down to each one when customers dont enjoy their food,53,Negative,'-0.2518518518518518
0,they never brought a salad we asked for,26,Neutral,0.0
0,this place is not worth your time let alone vegas,18,Negative,'-0.15
0,this was like the final blow,31,Neutral,0.0
0,times very bad customer service,76,Negative,'-0.9099999999999998
0,took an hour to get our food only tables in restaurant my food was luke warm our sever was running around like he was totally overwhelmed,28,Positive,0.19999999999999998
0,waitress was a little slow in service,17,Negative,'-0.24375000000000002
0,walked in and the place smelled like an old grease trap and only others there eating,81,Mixed,0.05
0,we got the food and apparently they have never heard of salt and the batter on the fish was chewy,68,Mixed,0.05
0,well never go again,95,Neutral,0.0
0,would not go back,11,Neutral,0.0
1,a great touch,9,Positive,0.8
1,a great way to finish a great,69,Positive,0.8
1,all i have to say is the food was amazing,87,Positive,0.6000000000000001
1,also there are combos like a burger fries and beer for which is a decent deal,30,Positive,0.16666666666666666
1,always a great time at dos gringos,66,Positive,0.8
1,ample portions and good prices,36,Positive,0.7
1,best breakfast buffet,93,Positive,1.0
1,everything was fresh and delicious,89,Positive,0.65
1,food arrived quickly,97,Positive,0.3333333333333333
1,great food and service huge portions and they give a military discount,65,Positive,0.36666666666666664
1,he came running after us when he realized my husband had left his sunglasses on the table,51,Neutral,0.0
1,highly recommended,16,Positive,0.16
1,i could care less the interior is just beautiful,23,Positive,0.3416666666666667
1,i found this place by accident and i could not be happier,32,Neutral,0.0
1,i love the pho and the spring rolls oh so yummy you have to try,85,Positive,0.5
1,i tried the cape cod ravoli chickenwith cranberrymmmm,13,Neutral,0.0
1,if you want a sandwich just go to any firehouse,48,Neutral,0.0
1,its like a really sexy party in your mouth where youre outrageously flirting with the hottest person at the party,91,Negative,'-0.25
1,loved itfriendly servers great food wonderful and imaginative menu,55,Positive,0.775
1,my first visit to hiro was a delight,38,Positive,0.25
1,my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing,49,Positive,0.21666666666666667
1,omelets are to die for,88,Neutral,0.0
1,on a positive note our server was very attentive and provided great service,43,Positive,0.5157575757575757
1,on the up side their cafe serves really good food,99,Positive,0.7
1,overall i like this place a lot,34,Neutral,0.0
1,really really good rice all the time,71,Positive,0.7
1,service is also cute,22,Positive,0.5
1,service was very prompt,10,Positive,0.2
1,so they performed,24,Neutral,0.0
1,stopped by during the late may bank holiday off rick steve recommendation and loved it,3,Positive,0.19999999999999998
1,thats rightthe red velvet cakeohhh this stuff is so good,25,Positive,0.35
1,the burger is good beef cooked just right,47,Positive,0.4928571428571428
1,the cocktails are all handmade and delicious,62,Positive,1.0
1,the deal included tastings and drinks and jeff went above and beyond what we expected,70,Mixed,'-0.05
1,the food amazing,21,Positive,0.6000000000000001
1,the fries were great too,8,Positive,0.8
1,the only redeeming quality of the restaurant was that it was very inexpensive,35,Positive,0.2333333333333333
1,the only thing i did like was the prime rib and dessert section,45,Neutral,0.0
1,the portion was huge,54,Positive,0.39999999999999997
1,the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked,58,Positive,0.6428571428571428
1,the selection on the menu was great and so were the prices,4,Positive,0.8
1,the shrimp tender and moist,40,Neutral,0.0
1,the sweet potato fries were very good and seasoned well,77,Positive,0.5033333333333333
1,their chow mein is so good,52,Positive,0.7
1,this hole in the wall has great mexican street tacos and friendly staff,27,Positive,0.39166666666666666
1,this place has it,83,Neutral,0.0
1,this place receives stars for their appetizers,61,Neutral,0.0
1,today is the second time ive been to their lunch buffet and it was pretty good,78,Positive,0.31666666666666665
1,updatewent back for a second time and it was still just as amazing,67,Positive,0.20000000000000004
1,we are so glad we found this place,64,Positive,0.5
1,we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside,50,Positive,0.19999999999999998
1,wed definitely go back here again,63,Neutral,0.0
1,will be back again,96,Neutral,0.0
1,wow loved this place,0,Positive,0.39999999999999997
